General Ledger,,,,,,,,,
"Johnson Family Dentistry, PLLC",,,,,,,,,
"January 1-December 31, 2023",,,,,,,,,
,,,,,,,,,
,Distribution account,Transaction date,Transaction type,Num,Name,Memo/Description,Split account,Amount,Balance
,103 Cash in BOA 0693,01/03/2023,Deposit,,MetLife,,Fees,176.00,"90,322.09"
,103 Cash in BOA 0693,01/03/2023,Deposit,,MetLife,,Fees,214.00,"90,536.09"
,103 Cash in BOA 0693,01/03/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"90,535.09"
,103 Cash in BOA 0693,01/03/2023,Expense,,Bank Of America,,Credit Card Payable,"-19,136.22","71,398.87"
,103 Cash in BOA 0693,01/04/2023,Deposit,,Delta,,Fees,186.00,"71,584.87"
,103 Cash in BOA 0693,01/04/2023,Deposit,,Oregon Dental SV,,Fees,"2,020.20","73,605.07"
,103 Cash in BOA 0693,01/04/2023,Deposit,,Delta Dental,,Fees,552.00,"74,157.07"
,103 Cash in BOA 0693,01/05/2023,Deposit,,Delta Dental,,Fees,"1,293.00","75,450.07"
,103 Cash in BOA 0693,01/05/2023,Deposit,,Delta,,Fees,150.00,"75,600.07"
,103 Cash in BOA 0693,01/05/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","69,600.07"
,103 Cash in BOA 0693,01/06/2023,Deposit,,Delta Dental,,Fees,"2,674.20","72,274.27"
,103 Cash in BOA 0693,01/06/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"72,273.27"
,103 Cash in BOA 0693,01/06/2023,Deposit,,Wa St Hca,,Fees,"8,983.42","81,256.69"
,103 Cash in BOA 0693,01/06/2023,Expense,,Fluence,,Legal & Professional Fees,"-4,000.00","77,256.69"
,103 Cash in BOA 0693,01/06/2023,Expense,,ADP,,Payroll Service,-112.34,"77,144.35"
,103 Cash in BOA 0693,01/09/2023,Deposit,,Delta,,Fees,193.00,"77,337.35"
,103 Cash in BOA 0693,01/10/2023,Deposit,,Oregon Dental SV,,Fees,"1,062.00","78,399.35"
,103 Cash in BOA 0693,01/10/2023,Expense,,Kaiser Permanente,,,"-3,409.65","74,989.70"
,103 Cash in BOA 0693,01/11/2023,Deposit,,Delta Dental,,Fees,186.00,"75,175.70"
,103 Cash in BOA 0693,01/12/2023,Deposit,,Delta Dental,,Fees,368.00,"75,543.70"
,103 Cash in BOA 0693,01/12/2023,Expense,,ADP,,Payroll Clearing,"-5,247.85","70,295.85"
,103 Cash in BOA 0693,01/12/2023,Expense,,ADP,,Payroll Clearing,"-16,632.30","53,663.55"
,103 Cash in BOA 0693,01/12/2023,Check,2421,Christeen Smith,,Refunds,-35.00,"53,628.55"
,103 Cash in BOA 0693,01/12/2023,Check,2419,Cedrick White,,Refunds,-73.84,"53,554.71"
,103 Cash in BOA 0693,01/12/2023,Check,2416,Sacsha Forsstrom,,Refunds,-25.00,"53,529.71"
,103 Cash in BOA 0693,01/12/2023,Check,2423,LSCMC Medical Staff,,Dues & Subscriptions,-200.00,"53,329.71"
,103 Cash in BOA 0693,01/12/2023,Check,2417,Eli Webb,,Refunds,-10.60,"53,319.11"
,103 Cash in BOA 0693,01/12/2023,Check,2420,Pavl Tanca,,Refunds,-32.83,"53,286.28"
,103 Cash in BOA 0693,01/12/2023,Check,2415,Oscar Godson,,Refunds,-59.40,"53,226.88"
,103 Cash in BOA 0693,01/13/2023,Deposit,,Wa St Hca,,Fees,"16,591.19","69,818.07"
,103 Cash in BOA 0693,01/13/2023,Deposit,,Delta Dental,,Fees,"1,303.95","71,122.02"
,103 Cash in BOA 0693,01/13/2023,Expense,,Pacific Crest Plaza Condo Assoc,,Rent,"-1,895.63","69,226.39"
,103 Cash in BOA 0693,01/13/2023,Expense,,adcoa,,Dental Supplies,-81.00,"69,145.39"
,103 Cash in BOA 0693,01/13/2023,Expense,,Allstate,,Auto Expense,-417.51,"68,727.88"
,103 Cash in BOA 0693,01/13/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-4,000.00","64,727.88"
,103 Cash in BOA 0693,01/17/2023,Deposit,,Oregon Dental SV,,Fees,502.00,"65,229.88"
,103 Cash in BOA 0693,01/17/2023,Deposit,,Delta Dental,,Fees,329.00,"65,558.88"
,103 Cash in BOA 0693,01/17/2023,Deposit,,Delta Dental,,Fees,157.00,"65,715.88"
,103 Cash in BOA 0693,01/17/2023,Expense,,IRS,,Tax Estimates,"-87,500.00","-21,784.12"
,103 Cash in BOA 0693,01/17/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"-21,785.12"
,103 Cash in BOA 0693,01/17/2023,Expense,,Transfer,,BOA Secondary Checking 0246,"30,000.00","8,214.88"
,103 Cash in BOA 0693,01/18/2023,Deposit,,Oregon Dental SV,,Fees,"1,017.00","9,231.88"
,103 Cash in BOA 0693,01/18/2023,Deposit,,UMR,,Fees,250.00,"9,481.88"
,103 Cash in BOA 0693,01/18/2023,Expense,,AFLAC,,Employee Benefits,-647.34,"8,834.54"
,103 Cash in BOA 0693,01/20/2023,Deposit,,Wa St Hca,,Fees,"22,309.77","31,144.31"
,103 Cash in BOA 0693,01/20/2023,Deposit,,Delta Dental,,Fees,"2,544.00","33,688.31"
,103 Cash in BOA 0693,01/20/2023,Expense,,ADP,,Payroll Service,-131.29,"33,557.02"
,103 Cash in BOA 0693,01/20/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","27,557.02"
,103 Cash in BOA 0693,01/23/2023,Deposit,,MetLife,,Fees,136.00,"27,693.02"
,103 Cash in BOA 0693,01/23/2023,Expense,,Reliable mechanical,,Repairs & Maintenance,-161.56,"27,531.46"
,103 Cash in BOA 0693,01/23/2023,Expense,,Allen Dental,,Dental Supplies,-199.42,"27,332.04"
,103 Cash in BOA 0693,01/23/2023,Expense,,Patterson,,Dental Supplies,-162.63,"27,169.41"
,103 Cash in BOA 0693,01/23/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"27,168.41"
,103 Cash in BOA 0693,01/23/2023,Expense,,Zimworks,,Practice Consultants,"-1,735.00","25,433.41"
,103 Cash in BOA 0693,01/24/2023,Deposit,,Delta,,Fees,793.20,"26,226.61"
,103 Cash in BOA 0693,01/24/2023,Deposit,,Oregon Dental SV,,Fees,430.80,"26,657.41"
,103 Cash in BOA 0693,01/25/2023,Expense,,The Hartford,,Malpractice Insurance,-648.60,"26,008.81"
,103 Cash in BOA 0693,01/26/2023,Deposit,,Delta Dental,,Fees,602.00,"26,610.81"
,103 Cash in BOA 0693,01/27/2023,Deposit,,Wa St Hca,,Fees,"27,656.23","54,267.04"
,103 Cash in BOA 0693,01/27/2023,Deposit,,Delta Dental,,Fees,"2,475.80","56,742.84"
,103 Cash in BOA 0693,01/27/2023,Deposit,,MetLife,,Fees,562.00,"57,304.84"
,103 Cash in BOA 0693,01/27/2023,Deposit,,Delta,,Fees,276.80,"57,581.64"
,103 Cash in BOA 0693,01/27/2023,Deposit,,MetLife,,Fees,272.00,"57,853.64"
,103 Cash in BOA 0693,01/27/2023,Expense,,ADP,,Payroll Service,-149.78,"57,703.86"
,103 Cash in BOA 0693,01/27/2023,Expense,,Fluence,,Legal & Professional Fees,"-3,000.00","54,703.86"
,103 Cash in BOA 0693,01/27/2023,Deposit,,Transfer,,BOA Secondary Checking 0246,"-5,000.00","49,703.86"
,103 Cash in BOA 0693,01/27/2023,Check,2425,Michelle Swinehart,,Refunds,-70.00,"49,633.86"
,103 Cash in BOA 0693,01/27/2023,Check,2424,Willie Yuan,,Refunds,-111.00,"49,522.86"
,103 Cash in BOA 0693,01/27/2023,Check,2426,Rashauna Doublin,,Refunds,-13.32,"49,509.54"
,103 Cash in BOA 0693,01/30/2023,Deposit,,Delta,,Fees,565.00,"50,074.54"
,103 Cash in BOA 0693,01/30/2023,Expense,,ADP,,Payroll Clearing,"-5,221.78","44,852.76"
,103 Cash in BOA 0693,01/30/2023,Expense,,ADP,,Payroll Clearing,"-16,267.03","28,585.73"
,103 Cash in BOA 0693,01/31/2023,Deposit,,Oregon Dental SV,,Fees,"1,065.00","29,650.73"
,103 Cash in BOA 0693,01/31/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-4,000.00","25,650.73"
,103 Cash in BOA 0693,02/01/2023,Expense,,Debra Jensen,,Janitorial Services & Supplies,-700.00,"24,950.73"
,103 Cash in BOA 0693,02/01/2023,Expense,,ADP,,Payroll Service,-218.40,"24,732.33"
,103 Cash in BOA 0693,02/01/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"24,731.33"
,103 Cash in BOA 0693,02/02/2023,Deposit,,Delta Dental,,Fees,"2,875.60","27,606.93"
,103 Cash in BOA 0693,02/02/2023,Credit Card Payment,,Bank Of America,,Credit Card Payable,"-21,472.60","6,134.33"
,103 Cash in BOA 0693,02/03/2023,Deposit,,Wa St Hca,,Fees,"40,660.16","46,794.49"
,103 Cash in BOA 0693,02/03/2023,Deposit,,Delta Dental,,Fees,"3,630.57","50,425.06"
,103 Cash in BOA 0693,02/03/2023,Deposit,,MetLife,,Fees,243.00,"50,668.06"
,103 Cash in BOA 0693,02/03/2023,Deposit,,Delta Dental,,Fees,206.40,"50,874.46"
,103 Cash in BOA 0693,02/03/2023,Deposit,,MetLife,,Fees,151.00,"51,025.46"
,103 Cash in BOA 0693,02/03/2023,Deposit,,MetLife,,Fees,136.00,"51,161.46"
,103 Cash in BOA 0693,02/03/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","45,161.46"
,103 Cash in BOA 0693,02/03/2023,Expense,,Harris Biomedical,,Staff Seminars & Continuing Ed,-840.39,"44,321.07"
,103 Cash in BOA 0693,02/03/2023,Expense,,adcoa,,Dental Supplies,-58.40,"44,262.67"
,103 Cash in BOA 0693,02/03/2023,Expense,,ADP,,Payroll Service,-112.34,"44,150.33"
,103 Cash in BOA 0693,02/06/2023,Deposit,,Delta,,Fees,485.00,"44,635.33"
,103 Cash in BOA 0693,02/06/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"44,634.33"
,103 Cash in BOA 0693,02/07/2023,Deposit,,Oregon Dental SV,,Fees,"2,881.00","47,515.33"
,103 Cash in BOA 0693,02/07/2023,Expense,,Kaiser Permanente,,,"-3,409.65","44,105.68"
,103 Cash in BOA 0693,02/08/2023,Deposit,,Delta Dental,,Fees,"1,313.60","45,419.28"
,103 Cash in BOA 0693,02/08/2023,Deposit,,Delta,,Fees,386.00,"45,805.28"
,103 Cash in BOA 0693,02/08/2023,Deposit,,Delta,,Fees,157.00,"45,962.28"
,103 Cash in BOA 0693,02/09/2023,Deposit,,Delta Dental,,Fees,193.00,"46,155.28"
,103 Cash in BOA 0693,02/09/2023,Deposit,,MetLife,,Fees,136.00,"46,291.28"
,103 Cash in BOA 0693,02/09/2023,Check,2432,Jeffrey Domingo,,Refunds,-10.80,"46,280.48"
,103 Cash in BOA 0693,02/09/2023,Check,2430,Joshua Lewis,,Refunds,-44.00,"46,236.48"
,103 Cash in BOA 0693,02/09/2023,Check,2427,Michael Owen,,Refunds,-92.00,"46,144.48"
,103 Cash in BOA 0693,02/09/2023,Check,2428,Penny Vital,,Refunds,-558.40,"45,586.08"
,103 Cash in BOA 0693,02/09/2023,Check,2431,Jason Burger,,Refunds,-180.00,"45,406.08"
,103 Cash in BOA 0693,02/10/2023,Deposit,,Wa St Hca,,Fees,"32,888.89","78,294.97"
,103 Cash in BOA 0693,02/10/2023,Deposit,,Delta Dental,,Fees,"3,513.95","81,808.92"
,103 Cash in BOA 0693,02/10/2023,Deposit,,MetLife,,Fees,552.00,"82,360.92"
,103 Cash in BOA 0693,02/10/2023,Deposit,,MetLife,,Fees,359.00,"82,719.92"
,103 Cash in BOA 0693,02/10/2023,Deposit,,Syncrony Bank,,Fees,296.42,"83,016.34"
,103 Cash in BOA 0693,02/10/2023,Deposit,,MetLife,,Fees,166.00,"83,182.34"
,103 Cash in BOA 0693,02/14/2023,Deposit,,Oregon Dental SV,,Fees,"3,885.10","87,067.44"
,103 Cash in BOA 0693,02/14/2023,Deposit,,Delta,,Fees,350.00,"87,417.44"
,103 Cash in BOA 0693,02/14/2023,Expense,,ADP,,Payroll Clearing,"-6,274.64","81,142.80"
,103 Cash in BOA 0693,02/14/2023,Expense,,ADP,,Payroll Clearing,"-18,987.13","62,155.67"
,103 Cash in BOA 0693,02/14/2023,Expense,,Allstate,,Auto Expense,-417.51,"61,738.16"
,103 Cash in BOA 0693,02/14/2023,Expense,,AFLAC,,Employee Benefits,-431.56,"61,306.60"
,103 Cash in BOA 0693,02/15/2023,Deposit,,Delta Dental,,Fees,193.00,"61,499.60"
,103 Cash in BOA 0693,02/15/2023,Deposit,,Oregon Dental SV,,Fees,128.00,"61,627.60"
,103 Cash in BOA 0693,02/15/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-4,000.00","57,627.60"
,103 Cash in BOA 0693,02/16/2023,Deposit,,Delta Dental,,Fees,"1,549.60","59,177.20"
,103 Cash in BOA 0693,02/16/2023,Deposit,,Delta,,Fees,193.00,"59,370.20"
,103 Cash in BOA 0693,02/16/2023,Expense,,Tess Oral Health,,Dental Supplies,"-1,327.47","58,042.73"
,103 Cash in BOA 0693,02/16/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"58,041.73"
,103 Cash in BOA 0693,02/17/2023,Deposit,,Wa St Hca,,Fees,"39,007.45","97,049.18"
,103 Cash in BOA 0693,02/17/2023,Deposit,,Delta Dental,,Fees,"3,553.60","100,602.78"
,103 Cash in BOA 0693,02/17/2023,Deposit,,MetLife,,Fees,135.00,"100,737.78"
,103 Cash in BOA 0693,02/17/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","94,737.78"
,103 Cash in BOA 0693,02/17/2023,Expense,,Fluence,,Legal & Professional Fees,"-3,000.00","91,737.78"
,103 Cash in BOA 0693,02/17/2023,Expense,,ADP,,Payroll Service,-18.95,"91,718.83"
,103 Cash in BOA 0693,02/21/2023,Deposit,,Delta,,Fees,686.00,"92,404.83"
,103 Cash in BOA 0693,02/21/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"92,403.83"
,103 Cash in BOA 0693,02/22/2023,Deposit,,Oregon Dental SV,,Fees,"1,517.40","93,921.23"
,103 Cash in BOA 0693,02/22/2023,Deposit,,Delta Dental,,Fees,193.00,"94,114.23"
,103 Cash in BOA 0693,02/23/2023,Deposit,,Delta Dental,,Fees,"1,526.40","95,640.63"
,103 Cash in BOA 0693,02/24/2023,Deposit,,Wa St Hca,,Fees,"13,459.02","109,099.65"
,103 Cash in BOA 0693,02/24/2023,Deposit,,Delta Dental,,Fees,"1,243.60","110,343.25"
,103 Cash in BOA 0693,02/24/2023,Deposit,,Delta Dental,,Fees,703.80,"111,047.05"
,103 Cash in BOA 0693,02/24/2023,Deposit,,MetLife,,Fees,153.00,"111,200.05"
,103 Cash in BOA 0693,02/24/2023,Deposit,,MetLife,,Fees,88.00,"111,288.05"
,103 Cash in BOA 0693,02/24/2023,Expense,,ADP,,Payroll Service,-149.78,"111,138.27"
,103 Cash in BOA 0693,02/24/2023,Expense,,ADP,,Payroll Service,-112.34,"111,025.93"
,103 Cash in BOA 0693,02/27/2023,Expense,,The Hartford,,Malpractice Insurance,-648.60,"110,377.33"
,103 Cash in BOA 0693,02/27/2023,Expense,,Zimworks,,Practice Consultants,"-1,735.00","108,642.33"
,103 Cash in BOA 0693,02/28/2023,Deposit,,Oregon Dental SV,,Fees,"2,508.40","111,150.73"
,103 Cash in BOA 0693,02/28/2023,Expense,,ADP,,Payroll Clearing,"-11,918.43","99,232.30"
,103 Cash in BOA 0693,03/01/2023,Deposit,,MetLife,,Fees,624.00,"99,856.30"
,103 Cash in BOA 0693,03/01/2023,Deposit,,MetLife,,Fees,532.00,"100,388.30"
,103 Cash in BOA 0693,03/01/2023,Deposit,,Delta,,Fees,269.00,"100,657.30"
,103 Cash in BOA 0693,03/01/2023,Deposit,,Dentegra,,Fees,177.00,"100,834.30"
,103 Cash in BOA 0693,03/01/2023,Expense,,ADP,,Payroll Clearing,"-3,380.54","97,453.76"
,103 Cash in BOA 0693,03/01/2023,Expense,,Debra Jensen,,Janitorial Services & Supplies,-700.00,"96,753.76"
,103 Cash in BOA 0693,03/01/2023,Check,2433,Debra Jensen,,Janitorial Services & Supplies,-700.00,"96,053.76"
,103 Cash in BOA 0693,03/02/2023,Deposit,,Delta Dental,,Fees,566.00,"96,619.76"
,103 Cash in BOA 0693,03/02/2023,Deposit,,Delta Dental,,Fees,246.00,"96,865.76"
,103 Cash in BOA 0693,03/02/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-4,000.00","92,865.76"
,103 Cash in BOA 0693,03/02/2023,Check,2439,Scott Bauman,,Refunds,-79.52,"92,786.24"
,103 Cash in BOA 0693,03/02/2023,Check,2440,Kimberly Fahey,,Refunds,-12.10,"92,774.14"
,103 Cash in BOA 0693,03/02/2023,Check,2438,Nicole Dio,,Refunds,-36.00,"92,738.14"
,103 Cash in BOA 0693,03/02/2023,Check,2436,Zuelen Roblero,,Refunds,-72.00,"92,666.14"
,103 Cash in BOA 0693,03/02/2023,Check,2435,Davin Hervi,,Refunds,-274.80,"92,391.34"
,103 Cash in BOA 0693,03/03/2023,Deposit,,Wa St Hca,,Fees,"9,058.01","101,449.35"
,103 Cash in BOA 0693,03/03/2023,Deposit,,Delta Dental,,Fees,660.97,"102,110.32"
,103 Cash in BOA 0693,03/03/2023,Deposit,,MetLife,,Fees,302.00,"102,412.32"
,103 Cash in BOA 0693,03/03/2023,Deposit,,Syncrony Bank,,Fees,192.31,"102,604.63"
,103 Cash in BOA 0693,03/03/2023,Deposit,,Delta Dental,,Fees,14.40,"102,619.03"
,103 Cash in BOA 0693,03/03/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"102,618.03"
,103 Cash in BOA 0693,03/06/2023,Deposit,,MetLife,,Fees,88.00,"102,706.03"
,103 Cash in BOA 0693,03/06/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","96,706.03"
,103 Cash in BOA 0693,03/06/2023,Credit Card Payment,,Bank Of America,,Credit Card Payable,"-27,336.47","69,369.56"
,103 Cash in BOA 0693,03/06/2023,Expense,,Regence Blue Cross,,Employee Benefits,"-3,249.23","66,120.33"
,103 Cash in BOA 0693,03/06/2023,Expense,,Henry Schein,,Repairs & Maintenance,-109.42,"66,010.91"
,103 Cash in BOA 0693,03/06/2023,Check,2443,Nicholas Tarter,,Refunds,-189.70,"65,821.21"
,103 Cash in BOA 0693,03/06/2023,Check,2444,LEMC Medical Staff,,Dues & Subscriptions,-225.00,"65,596.21"
,103 Cash in BOA 0693,03/06/2023,Check,2442,Lyndsey Russell,,Refunds,-36.00,"65,560.21"
,103 Cash in BOA 0693,03/07/2023,Deposit,,Oregon Dental SV,,Fees,632.00,"66,192.21"
,103 Cash in BOA 0693,03/07/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"66,191.21"
,103 Cash in BOA 0693,03/10/2023,Deposit,,Wa St Hca,,Fees,"11,751.40","77,942.61"
,103 Cash in BOA 0693,03/10/2023,Deposit,,Delta Dental,,Fees,"2,151.75","80,094.36"
,103 Cash in BOA 0693,03/10/2023,Deposit,,MetLife,,Fees,570.20,"80,664.56"
,103 Cash in BOA 0693,03/10/2023,Deposit,,Delta Dental,,Fees,268.20,"80,932.76"
,103 Cash in BOA 0693,03/10/2023,Deposit,,MetLife,,Fees,206.00,"81,138.76"
,103 Cash in BOA 0693,03/10/2023,Expense,,Reliable mechanical,,Repairs & Maintenance,-161.56,"80,977.20"
,103 Cash in BOA 0693,03/10/2023,Expense,,adcoa,,Dental Supplies,-648.85,"80,328.35"
,103 Cash in BOA 0693,03/10/2023,Expense,,Allen Dental,,Dental Supplies,-430.64,"79,897.71"
,103 Cash in BOA 0693,03/10/2023,Expense,,ADP,,Payroll Service,-107.31,"79,790.40"
,103 Cash in BOA 0693,03/14/2023,Expense,,ADP,,Payroll Clearing,"-4,636.38","75,154.02"
,103 Cash in BOA 0693,03/14/2023,Deposit,,Delta,,Fees,157.00,"75,311.02"
,103 Cash in BOA 0693,03/14/2023,Expense,,ADP,,Payroll Clearing,"-15,001.58","60,309.44"
,103 Cash in BOA 0693,03/14/2023,Expense,,Allstate,,Auto Expense,-417.51,"59,891.93"
,103 Cash in BOA 0693,03/15/2023,Deposit,,Delta Dental,,Fees,726.00,"60,617.93"
,103 Cash in BOA 0693,03/15/2023,Deposit,,Delta,,Fees,509.60,"61,127.53"
,103 Cash in BOA 0693,03/16/2023,Deposit,,Delta Dental,,Fees,240.00,"61,367.53"
,103 Cash in BOA 0693,03/17/2023,Deposit,,Delta Dental,,Fees,"2,397.40","63,764.93"
,103 Cash in BOA 0693,03/17/2023,Deposit,,Wa St Hca,,Fees,"32,737.35","96,502.28"
,103 Cash in BOA 0693,03/17/2023,Deposit,,Syncrony Bank,,Fees,202.31,"96,704.59"
,103 Cash in BOA 0693,03/17/2023,Deposit,,MetLife,,Fees,30.00,"96,734.59"
,103 Cash in BOA 0693,03/17/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-4,000.00","92,734.59"
,103 Cash in BOA 0693,03/17/2023,Expense,,Reliable mechanical,,Repairs & Maintenance,-161.56,"92,573.03"
,103 Cash in BOA 0693,03/17/2023,Expense,,Pacific Crest Plaza Condo Assoc,,Rent,"-1,949.99","90,623.04"
,103 Cash in BOA 0693,03/17/2023,Expense,,adcoa,,Dental Supplies,-35.81,"90,587.23"
,103 Cash in BOA 0693,03/20/2023,Deposit,,MetLife,,Fees,42.40,"90,629.63"
,103 Cash in BOA 0693,03/20/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"90,628.63"
,103 Cash in BOA 0693,03/20/2023,Expense,,Zimworks,,Practice Consultants,"-1,735.00","88,893.63"
,103 Cash in BOA 0693,03/21/2023,Deposit,,Oregon Dental SV,,Fees,"5,283.60","94,177.23"
,103 Cash in BOA 0693,03/21/2023,Expense,,Dr. Johnson's Withdrawal,,Johnson Transfer Withdrawals,"-6,000.00","88,177.23"
,103 Cash in BOA 0693,03/21/2023,Expense,,AFLAC,,Employee Benefits,-256.08,"87,921.15"
,103 Cash in BOA 0693,03/21/2023,Check,2445,Mariana Lopez,,Payroll Clearing,"-1,000.00","86,921.15"
,103 Cash in BOA 0693,03/22/2023,Expense,,Transfer Fee,,Office Supplies,-1.00,"86,920.15"
,103 Cash in BOA 0693,03/23/2023,Deposit,,Delta Dental,,Fees,319.00,"87,239.15"
,103 Cash in BOA 0693,03/23/2023,Check,2448,Leonel Rivera,,Refunds,-16.40,"87,222.75"
,103 Cash in BOA 0693,03/23/2023,Check,2447,David Edwards,,Refunds,-132.00,"87,090.75"
,103 Cash in BOA 0693,03/23/2023,Check,2446,Megan Mclay,,Refunds,-82.50,"87,008.25"
,103 Cash in BOA 0693,03/24/2023,Deposit,,Delta Dental,,Fees,"4,516.80","91,525.05"
,103 Cash in BOA 0693,03/24/2023,Deposit,,Wa St Hca,,Fees,"31,605.86","123,130.91"
,103 Cash in BOA 0693,03/24/2023,Deposit,,MetLife,,Fees,166.00,"123,296.91"
,103 Cash in BOA 0693,03/24/2023,Deposit,,MetLife,,Fees,136.00,"123,432.91"
,103 Cash in BOA 0693,03/24/2023,Expense,,HF Acquisition,,Dental Supplies,-408.15,"123,024.76"
,103 Cash in BOA 0693,03/24/2023,Expense,,Fluence,,Legal & Professional Fees,"-1,500.00","121,524.76"
,103 Cash in BOA 0693,03/24/2023,Expense,,ADP,,Payroll Service,-128.77,"121,395.99"
,103 Cash in BOA 0693,03/27/2023,Deposit,,Delta Dental,,Fees,193.00,"121,588.99"
,103 Cash in BOA 0693,03/27/2023,Expense,,The Hartford,,Malpractice Insurance,-648.60,"120,940.39"
,103 Cash in BOA 0693,03/28/2023,Deposit,,Delta Dental,,Fees,157.00,"121,097.39"
,103 Cash in BOA 0693,03/28/2023,Expense,,Regence Blue Cross,,Employee Benefits,"-3,249.23","117,848.16"
,103 Cash in BOA 0693,03/29/2023,Deposit,,Delta Dental,,Fees,692.00,"118,540.16"
,103 Cash in BOA 0693,03/29/2023,Deposit,,Delta,,Fees,684.60,"119,224.76"
,103 Cash in BOA 0693,03/29/2023,Deposit,,Oregon Dental SV,,Fees,582.00,"119,806.76"
,103 Cash in BOA 0693,03/29/2023,Deposit,,Delta,,Fees,218.40,"120,025.16"
,103 Cash in BOA 0693,03/29/2023,Deposit,,Delta,,Fees,193.00,"120,218.16"
,103 Cash in BOA 0693,03/30/2023,Deposit,,MetLife,,Fees,166.00,"120,384.16"
,103 Cash in BOA 0693,03/30/2023,Deposit,,Delta Dental,,Fees,157.00,"120,541.16"
